ds,y
2022-09-30,100
2022-09-29,99.5
2022-09-28,99
2022-09-27,98.5
2022-09-26,98
2022-09-25,97.5
2022-09-24,97
2022-09-23,96.5
2022-09-22,96
2022-09-21,95.5
2022-09-20,95
2022-09-19,94.5
2022-09-18,94
2022-09-17,93.5
2022-09-16,93
2022-09-15,92.5
2022-09-14,92
2022-09-13,91.5
2022-09-12,91
2022-09-11,90.5
2022-09-10,90
2022-09-09,89.5
2022-09-08,89
2022-09-07,88.5
2022-09-06,88
2022-09-05,87.5
2022-09-04,87
2022-09-03,86.5
2022-09-02,86
2022-09-01,85.5
2022-08-31,85
2022-08-30,84.5
2022-08-29,84
2022-08-28,83.5
2022-08-27,83
2022-08-26,82.5
2022-08-25,82
2022-08-24,81.5
2022-08-23,81
2022-08-22,80.5
2022-08-21,80
2022-08-20,79.5
2022-08-19,79
2022-08-18,78.5
2022-08-17,78
2022-08-16,77.5
2022-08-15,77
2022-08-14,76.5
2022-08-13,76
2022-08-12,75.5
2022-08-11,75
2022-08-10,74.5
2022-08-09,74
2022-08-08,73.5
2022-08-07,73
2022-08-06,72.5
2022-08-05,72
2022-08-04,71.5
2022-08-03,71
2022-08-02,70.5
2022-08-01,70
2022-07-31,69.5
2022-07-30,69
2022-07-29,68.5
2022-07-28,68
2022-07-27,67.5
2022-07-26,67
2022-07-25,66.5
2022-07-24,66
2022-07-23,65.5
2022-07-22,65
2022-07-21,64.5
2022-07-20,64
2022-07-19,63.5
2022-07-18,63
2022-07-17,62.5
2022-07-16,62
2022-07-15,61.5
2022-07-14,61
2022-07-13,60.5
2022-07-12,60
2022-07-11,59.5
2022-07-10,59
2022-07-09,58.5
2022-07-08,58
2022-07-07,57.5
2022-07-06,57
2022-07-05,56.5
2022-07-04,56
2022-07-03,55.5
2022-07-02,55
2022-07-01,54.5
2022-06-30,54
2022-06-29,53.5
2022-06-28,53
2022-06-27,52.5
2022-06-26,52
2022-06-25,51.5
2022-06-24,51
2022-06-23,50.5
2022-06-22,50
2022-06-21,49.5
2022-06-20,49
2022-06-19,48.5
2022-06-18,48
2022-06-17,47.5
2022-06-16,47
2022-06-15,46.5
2022-06-14,46
2022-06-13,45.5
2022-06-12,45
2022-06-11,44.5
2022-06-10,44
2022-06-09,43.5
2022-06-08,43
2022-06-07,42.5
2022-06-06,42
2022-06-05,41.5
2022-06-04,41
2022-06-03,40.5
2022-06-02,40
2022-06-01,39.5
2022-05-31,39
2022-05-30,38.5
2022-05-29,38
2022-05-28,37.5
2022-05-27,37
2022-05-26,36.5
2022-05-25,36
2022-05-24,35.5
2022-05-23,35
2022-05-22,34.5
2022-05-21,34
2022-05-20,33.5
2022-05-19,33
2022-05-18,32.5
2022-05-17,32
2022-05-16,31.5
2022-05-15,31
2022-05-14,30.5
2022-05-13,30
2022-05-12,29.5
2022-05-11,29
2022-05-10,28.5
2022-05-09,28
2022-05-08,27.5
2022-05-07,27
2022-05-06,26.5
2022-05-05,26
2022-05-04,25.5
2022-05-03,25
2022-05-02,24.5
2022-05-01,24
2022-04-30,23.5
2022-04-29,23
2022-04-28,22.5
2022-04-27,22
2022-04-26,21.5
2022-04-25,21
2022-04-24,20.5
2022-04-23,20
2022-04-22,19.5
2022-04-21,19
2022-04-20,18.5
2022-04-19,18
2022-04-18,17.5
2022-04-17,17
2022-04-16,16.5
2022-04-15,16
2022-04-14,15.5
2022-04-13,15
2022-04-12,14.5
2022-04-11,14
2022-04-10,13.5
2022-04-09,13
2022-04-08,12.5
2022-04-07,12
2022-04-06,11.5
2022-04-05,11
2022-04-04,10.5
2022-04-03,10
2022-04-02,9.5
2022-04-01,9
2022-03-31,8.5
2022-03-30,8
2022-03-29,7.5
2022-03-28,7
2022-03-27,6.5
2022-03-26,6
2022-03-25,5.5
2022-03-24,5
2022-03-23,4.5
2022-03-22,4
2022-03-21,3.5
2022-03-20,3
2022-03-19,2.5
2022-03-18,2
2022-03-17,1.5
2022-03-16,1
2022-03-15,0.5
2022-03-14,0
